species,lifestage,habitatzone,habitattype,ecoregion,shapefile_name
blackfinsnapper,adult,off,sb,er1,sb_off_er1
blackfinsnapper,adult,off,sb,er2,sb_off_er2
blackfinsnapper,spawningadult,off,shelf,er1,shelf_off_er1
blackfinsnapper,spawningadult,off,shelf,er2,shelf_off_er2
blackfinsnapper,spawningadult,off,hb,er1,hb_off_er1
blackfinsnapper,spawningadult,off,hb,er2,hb_off_er2
blackgrouper,egg,off,wca,er1,wca_off_er1
blackgrouper,egg,off,wca,er2,wca_off_er2
blackgrouper,larvae,off,wca,er1,wca_off_er1
blackgrouper,larvae,off,wca,er2,wca_off_er2
blackgrouper,postlarvae,off,wca,er1,wca_off_er1
blackgrouper,postlarvae,off,wca,er2,wca_off_er2
blackgrouper,earlyjuvenile,est,sav,er1,sav_est_er1
blackgrouper,earlyjuvenile,est,sav,er2,sav_est_er2
blackgrouper,earlyjuvenile,near,sav,er1,sav_near_er1
blackgrouper,earlyjuvenile,near,sav,er2,sav_near_er2
blackgrouper,latejuvenile,est,reef,er1,reef_est_er1
blackgrouper,latejuvenile,est,reef,er2,reef_est_er2
blackgrouper,latejuvenile,est,hb,er1,hb_est_er1
blackgrouper,latejuvenile,est,hb,er2,hb_est_er2
blackgrouper,latejuvenile,est,mangrove,er1,mangrove_est_er1
blackgrouper,latejuvenile,est,mangrove,er2,mangrove_est_er2
blackgrouper,latejuvenile,near,reef,er1,reef_near_er1
blackgrouper,latejuvenile,near,reef,er2,reef_near_er2
blackgrouper,latejuvenile,near,hb,er1,hb_near_er1
blackgrouper,latejuvenile,near,hb,er2,hb_near_er2
blackgrouper,latejuvenile,near,mangrove,er1,mangrove_near_er1
blackgrouper,latejuvenile,near,mangrove,er2,mangrove_near_er2
blackgrouper,latejuvenile,off,reef,er1,reef_off_er1
blackgrouper,latejuvenile,off,reef,er2,reef_off_er2
blackgrouper,latejuvenile,off,hb,er1,hb_off_er1
blackgrouper,latejuvenile,off,hb,er2,hb_off_er2
blackgrouper,latejuvenile,off,mangrove,er1,mangrove_off_er1
blackgrouper,latejuvenile,off,mangrove,er2,mangrove_off_er2
blackgrouper,adult,near,reef,er1,reef_near_er1
blackgrouper,adult,near,reef,er2,reef_near_er2
blackgrouper,adult,near,hb,er1,hb_near_er1
blackgrouper,adult,near,hb,er2,hb_near_er2
blackgrouper,adult,off,reef,er1,reef_off_er1
blackgrouper,adult,off,reef,er2,reef_off_er2
blackgrouper,adult,off,hb,er1,hb_off_er1
blackgrouper,adult,off,hb,er2,hb_off_er2
blackgrouper,spawningadult,off,reef,er1,reef_off_er1
blackgrouper,spawningadult,off,reef,er2,reef_off_er2
blackgrouper,spawningadult,off,hb,er1,hb_off_er1
blackgrouper,spawningadult,off,hb,er2,hb_off_er2
blackgrouper,spawningadult,off,shelf,er1,shelf_off_er1
blackgrouper,spawningadult,off,shelf,er2,shelf_off_er2
bluelinetilefish,egg,off,wca,er1,wca_off_er1
bluelinetilefish,egg,off,wca,er2,wca_off_er2
bluelinetilefish,larvae,off,wca,er1,wca_off_er1
bluelinetilefish,larvae,off,wca,er2,wca_off_er2
bluelinetilefish,postlarvae,off,wca,er1,wca_off_er1
bluelinetilefish,postlarvae,off,wca,er2,wca_off_er2
bluelinetilefish,earlyjuvenile,off,wca,er1,wca_off_er1
bluelinetilefish,earlyjuvenile,off,wca,er2,wca_off_er2
bluelinetilefish,latejuvenile,off,wca,er1,wca_off_er1
bluelinetilefish,latejuvenile,off,wca,er2,wca_off_er2
bluelinetilefish,adult,off,hb,er1,hb_off_er1
bluelinetilefish,adult,off,hb,er2,hb_off_er2
bluelinetilefish,adult,off,sb,er1,sb_off_er1
bluelinetilefish,adult,off,sb,er2,sb_off_er2
bluelinetilefish,adult,off,shelf,er1,shelf_off_er1
bluelinetilefish,adult,off,shelf,er2,shelf_off_er2
bluelinetilefish,spawningadult,off,shelf,er1,shelf_off_er1
bluelinetilefish,spawningadult,off,shelf,er2,shelf_off_er2
brownshrimp,egg,off,sb,er3,sb_off_er3
brownshrimp,egg,off,sb,er4,sb_off_er4
brownshrimp,egg,off,sb,er5,sb_off_er5
brownshrimp,larvae,est,wca,er3,wca_est_er3
brownshrimp,larvae,est,wca,er4,wca_est_er4
brownshrimp,larvae,est,wca,er5,wca_est_er5
brownshrimp,larvae,near,wca,er3,wca_near_er3
brownshrimp,larvae,near,wca,er4,wca_near_er4
brownshrimp,larvae,near,wca,er5,wca_near_er5
brownshrimp,larvae,off,wca,er3,wca_off_er3
brownshrimp,larvae,off,wca,er4,wca_off_er4
brownshrimp,larvae,off,wca,er5,wca_off_er5
brownshrimp,postlarvae,est,sav,er3,sav_est_er3
brownshrimp,postlarvae,est,sav,er4,sav_est_er4
brownshrimp,postlarvae,est,sav,er5,sav_est_er5
brownshrimp,postlarvae,est,em,er3,em_est_er3
brownshrimp,postlarvae,est,em,er4,em_est_er4
brownshrimp,postlarvae,est,em,er5,em_est_er5
brownshrimp,postlarvae,est,oyster,er3,oyster_est_er3
brownshrimp,postlarvae,est,oyster,er4,oyster_est_er4
brownshrimp,postlarvae,est,oyster,er5,oyster_est_er5
brownshrimp,postlarvae,est,sb,er3,sb_est_er3
brownshrimp,postlarvae,est,sb,er4,sb_est_er4
brownshrimp,postlarvae,est,sb,er5,sb_est_er5
brownshrimp,earlyjuvenile,est,sav,er3,sav_est_er3
brownshrimp,earlyjuvenile,est,sav,er4,sav_est_er4
brownshrimp,earlyjuvenile,est,sav,er5,sav_est_er5
brownshrimp,earlyjuvenile,est,em,er3,em_est_er3
brownshrimp,earlyjuvenile,est,em,er4,em_est_er4
brownshrimp,earlyjuvenile,est,em,er5,em_est_er5
brownshrimp,earlyjuvenile,est,oyster,er3,oyster_est_er3
brownshrimp,earlyjuvenile,est,oyster,er4,oyster_est_er4
brownshrimp,earlyjuvenile,est,oyster,er5,oyster_est_er5
brownshrimp,earlyjuvenile,est,sb,er3,sb_est_er3
brownshrimp,earlyjuvenile,est,sb,er4,sb_est_er4
brownshrimp,earlyjuvenile,est,sb,er5,sb_est_er5
brownshrimp,latejuvenile,est,sav,er3,sav_est_er3
brownshrimp,latejuvenile,est,sav,er4,sav_est_er4
brownshrimp,latejuvenile,est,sav,er5,sav_est_er5
brownshrimp,latejuvenile,est,em,er3,em_est_er3
brownshrimp,latejuvenile,est,em,er4,em_est_er4
brownshrimp,latejuvenile,est,em,er5,em_est_er5
brownshrimp,latejuvenile,est,oyster,er3,oyster_est_er3
brownshrimp,latejuvenile,est,oyster,er4,oyster_est_er4
brownshrimp,latejuvenile,est,oyster,er5,oyster_est_er5
brownshrimp,latejuvenile,est,sb,er3,sb_est_er3
brownshrimp,latejuvenile,est,sb,er4,sb_est_er4
brownshrimp,latejuvenile,est,sb,er5,sb_est_er5
brownshrimp,adult,off,sb,er1,sb_off_er1
brownshrimp,adult,off,sb,er2,sb_off_er2
brownshrimp,adult,off,sb,er3,sb_off_er3
brownshrimp,adult,off,sb,er4,sb_off_er4
brownshrimp,adult,off,sb,er5,sb_off_er5
brownshrimp,adult,off,mangrove,er1,mangrove_off_er1
brownshrimp,adult,off,mangrove,er2,mangrove_off_er2
brownshrimp,adult,off,mangrove,er3,mangrove_off_er3
brownshrimp,adult,off,mangrove,er4,mangrove_off_er4
brownshrimp,adult,off,mangrove,er5,mangrove_off_er5
brownshrimp,adult,off,sand,er1,sand_off_er1
brownshrimp,adult,off,sand,er2,sand_off_er2
brownshrimp,adult,off,sand,er3,sand_off_er3
brownshrimp,adult,off,sand,er4,sand_off_er4
brownshrimp,adult,off,sand,er5,sand_off_er5
brownshrimp,spawningadult,off,sb,er3,sb_off_er3
brownshrimp,spawningadult,off,sb,er4,sb_off_er4
brownshrimp,spawningadult,off,sb,er5,sb_off_er5
brownshrimp,spawningadult,off,mangrove,er3,mangrove_off_er3
brownshrimp,spawningadult,off,mangrove,er4,mangrove_off_er4
brownshrimp,spawningadult,off,mangrove,er5,mangrove_off_er5
brownshrimp,spawningadult,off,sand,er3,sand_off_er3
brownshrimp,spawningadult,off,sand,er4,sand_off_er4
brownshrimp,spawningadult,off,sand,er5,sand_off_er5
cobia,egg,est,wca,er2,wca_est_er2
cobia,egg,est,wca,er3,wca_est_er3
cobia,egg,est,wca,er4,wca_est_er4
cobia,egg,est,wca,er5,wca_est_er5
cobia,egg,near,wca,er2,wca_near_er2
cobia,egg,near,wca,er3,wca_near_er3
cobia,egg,near,wca,er4,wca_near_er4
cobia,egg,near,wca,er5,wca_near_er5
cobia,larvae,est,wca,er2,wca_est_er2
cobia,larvae,est,wca,er3,wca_est_er3
cobia,larvae,est,wca,er4,wca_est_er4
cobia,larvae,est,wca,er5,wca_est_er5
cobia,larvae,near,wca,er2,wca_near_er2
cobia,larvae,near,wca,er3,wca_near_er3
cobia,larvae,near,wca,er4,wca_near_er4
cobia,larvae,near,wca,er5,wca_near_er5
cobia,larvae,off,wca,er2,wca_off_er2
cobia,larvae,off,wca,er3,wca_off_er3
cobia,larvae,off,wca,er4,wca_off_er4
cobia,larvae,off,wca,er5,wca_off_er5
cobia,postlarvae,near,wca,er3,wca_near_er3
cobia,postlarvae,near,wca,er4,wca_near_er4
cobia,postlarvae,near,wca,er5,wca_near_er5
cobia,postlarvae,off,wca,er3,wca_off_er3
cobia,postlarvae,off,wca,er4,wca_off_er4
cobia,postlarvae,off,wca,er5,wca_off_er5
cobia,earlyjuvenile,near,wca,er3,wca_near_er3
cobia,earlyjuvenile,near,wca,er4,wca_near_er4
cobia,earlyjuvenile,near,wca,er5,wca_near_er5
cobia,earlyjuvenile,off,wca,er3,wca_off_er3
cobia,earlyjuvenile,off,wca,er4,wca_off_er4
cobia,earlyjuvenile,off,wca,er5,wca_off_er5
cobia,latejuvenile,near,wca,er3,wca_near_er3
cobia,latejuvenile,near,wca,er4,wca_near_er4
cobia,latejuvenile,near,wca,er5,wca_near_er5
cobia,latejuvenile,off,wca,er3,wca_off_er3
cobia,latejuvenile,off,wca,er4,wca_off_er4
cobia,latejuvenile,off,wca,er5,wca_off_er5
cobia,adult,near,wca,er1,wca_near_er1
cobia,adult,near,wca,er2,wca_near_er2
cobia,adult,near,wca,er3,wca_near_er3
cobia,adult,near,wca,er4,wca_near_er4
cobia,adult,near,wca,er5,wca_near_er5
cobia,adult,near,shelf,er1,shelf_near_er1
cobia,adult,near,shelf,er2,shelf_near_er2
cobia,adult,near,shelf,er3,shelf_near_er3
cobia,adult,near,shelf,er4,shelf_near_er4
cobia,adult,near,shelf,er5,shelf_near_er5
cobia,adult,off,wca,er1,wca_off_er1
cobia,adult,off,wca,er2,wca_off_er2
cobia,adult,off,wca,er3,wca_off_er3
cobia,adult,off,wca,er4,wca_off_er4
cobia,adult,off,wca,er5,wca_off_er5
cobia,adult,off,shelf,er1,shelf_off_er1
cobia,adult,off,shelf,er2,shelf_off_er2
cobia,adult,off,shelf,er3,shelf_off_er3
cobia,adult,off,shelf,er4,shelf_off_er4
cobia,adult,off,shelf,er5,shelf_off_er5
cobia,spawningadult,near,wca,er3,wca_near_er3
cobia,spawningadult,near,wca,er4,wca_near_er4
cobia,spawningadult,near,wca,er5,wca_near_er5
cobia,spawningadult,off,wca,er3,wca_off_er3
cobia,spawningadult,off,wca,er4,wca_off_er4
cobia,spawningadult,off,wca,er5,wca_off_er5
cuberasnapper,egg,near,wca,er1,wca_near_er1
cuberasnapper,egg,off,wca,er1,wca_off_er1
cuberasnapper,larvae,near,wca,er1,wca_near_er1
cuberasnapper,larvae,off,wca,er1,wca_off_er1
cuberasnapper,postlarvae,near,wca,er1,wca_near_er1
cuberasnapper,postlarvae,off,wca,er1,wca_off_er1
cuberasnapper,earlyjuvenile,est,sav,er1,sav_est_er1
cuberasnapper,earlyjuvenile,est,mangrove,er1,mangrove_est_er1
cuberasnapper,earlyjuvenile,est,em,er1,em_est_er1
cuberasnapper,earlyjuvenile,near,sav,er1,sav_near_er1
cuberasnapper,earlyjuvenile,near,mangrove,er1,mangrove_near_er1
cuberasnapper,earlyjuvenile,near,em,er1,em_near_er1
cuberasnapper,earlyjuvenile,off,sav,er1,sav_off_er1
cuberasnapper,earlyjuvenile,off,mangrove,er1,mangrove_off_er1
cuberasnapper,earlyjuvenile,off,em,er1,em_off_er1
cuberasnapper,latejuvenile,est,sav,er1,sav_est_er1
cuberasnapper,latejuvenile,est,mangrove,er1,mangrove_est_er1
cuberasnapper,latejuvenile,est,em,er1,em_est_er1
cuberasnapper,latejuvenile,near,sav,er1,sav_near_er1
cuberasnapper,latejuvenile,near,mangrove,er1,mangrove_near_er1
cuberasnapper,latejuvenile,near,em,er1,em_near_er1
cuberasnapper,latejuvenile,off,sav,er1,sav_off_er1
cuberasnapper,latejuvenile,off,mangrove,er1,mangrove_off_er1
cuberasnapper,latejuvenile,off,em,er1,em_off_er1
cuberasnapper,adult,near,mangrove,er1,mangrove_near_er1
cuberasnapper,adult,near,reef,er1,reef_near_er1
cuberasnapper,adult,off,mangrove,er1,mangrove_off_er1
cuberasnapper,adult,off,reef,er1,reef_off_er1
cuberasnapper,spawningadult,near,reef,er1,reef_near_er1
cuberasnapper,spawningadult,near,shelf,er1,shelf_near_er1
cuberasnapper,spawningadult,near,hb,er1,hb_near_er1
cuberasnapper,spawningadult,off,reef,er1,reef_off_er1
cuberasnapper,spawningadult,off,shelf,er1,shelf_off_er1
cuberasnapper,spawningadult,off,hb,er1,hb_off_er1
gaggrouper,egg,off,wca,er1,wca_off_er1
gaggrouper,egg,off,wca,er2,wca_off_er2
gaggrouper,larvae,off,wca,er1,wca_off_er1
gaggrouper,larvae,off,wca,er2,wca_off_er2
gaggrouper,postlarvae,off,wca,er1,wca_off_er1
gaggrouper,postlarvae,off,wca,er2,wca_off_er2
gaggrouper,earlyjuvenile,est,sav,er1,sav_est_er1
gaggrouper,earlyjuvenile,est,sav,er2,sav_est_er2
gaggrouper,earlyjuvenile,est,sav,er3,sav_est_er3
gaggrouper,earlyjuvenile,est,mangrove,er1,mangrove_est_er1
gaggrouper,earlyjuvenile,est,mangrove,er2,mangrove_est_er2
gaggrouper,earlyjuvenile,est,mangrove,er3,mangrove_est_er3
gaggrouper,earlyjuvenile,near,sav,er1,sav_near_er1
gaggrouper,earlyjuvenile,near,sav,er2,sav_near_er2
gaggrouper,earlyjuvenile,near,sav,er3,sav_near_er3
gaggrouper,earlyjuvenile,near,mangrove,er1,mangrove_near_er1
gaggrouper,earlyjuvenile,near,mangrove,er2,mangrove_near_er2
gaggrouper,earlyjuvenile,near,mangrove,er3,mangrove_near_er3
gaggrouper,latejuvenile,est,sav,er1,sav_est_er1
gaggrouper,latejuvenile,est,sav,er2,sav_est_er2
gaggrouper,latejuvenile,est,sav,er3,sav_est_er3
gaggrouper,latejuvenile,est,sav,er4,sav_est_er4
gaggrouper,latejuvenile,est,mangrove,er1,mangrove_est_er1
gaggrouper,latejuvenile,est,mangrove,er2,mangrove_est_er2
gaggrouper,latejuvenile,est,mangrove,er3,mangrove_est_er3
gaggrouper,latejuvenile,est,mangrove,er4,mangrove_est_er4
gaggrouper,latejuvenile,est,hb,er1,hb_est_er1
gaggrouper,latejuvenile,est,hb,er2,hb_est_er2
gaggrouper,latejuvenile,est,hb,er3,hb_est_er3
gaggrouper,latejuvenile,est,hb,er4,hb_est_er4
gaggrouper,latejuvenile,est,reef,er1,reef_est_er1
gaggrouper,latejuvenile,est,reef,er2,reef_est_er2
gaggrouper,latejuvenile,est,reef,er3,reef_est_er3
gaggrouper,latejuvenile,est,reef,er4,reef_est_er4
gaggrouper,latejuvenile,near,sav,er1,sav_near_er1
gaggrouper,latejuvenile,near,sav,er2,sav_near_er2
gaggrouper,latejuvenile,near,sav,er3,sav_near_er3
gaggrouper,latejuvenile,near,sav,er4,sav_near_er4
gaggrouper,latejuvenile,near,mangrove,er1,mangrove_near_er1
gaggrouper,latejuvenile,near,mangrove,er2,mangrove_near_er2
gaggrouper,latejuvenile,near,mangrove,er3,mangrove_near_er3
gaggrouper,latejuvenile,near,mangrove,er4,mangrove_near_er4
gaggrouper,latejuvenile,near,hb,er1,hb_near_er1
gaggrouper,latejuvenile,near,hb,er2,hb_near_er2
gaggrouper,latejuvenile,near,hb,er3,hb_near_er3
gaggrouper,latejuvenile,near,hb,er4,hb_near_er4
gaggrouper,latejuvenile,near,reef,er1,reef_near_er1
gaggrouper,latejuvenile,near,reef,er2,reef_near_er2
gaggrouper,latejuvenile,near,reef,er3,reef_near_er3
gaggrouper,latejuvenile,near,reef,er4,reef_near_er4
gaggrouper,latejuvenile,off,sav,er1,sav_off_er1
gaggrouper,latejuvenile,off,sav,er2,sav_off_er2
gaggrouper,latejuvenile,off,sav,er3,sav_off_er3
gaggrouper,latejuvenile,off,sav,er4,sav_off_er4
gaggrouper,latejuvenile,off,mangrove,er1,mangrove_off_er1
gaggrouper,latejuvenile,off,mangrove,er2,mangrove_off_er2
gaggrouper,latejuvenile,off,mangrove,er3,mangrove_off_er3
gaggrouper,latejuvenile,off,mangrove,er4,mangrove_off_er4
gaggrouper,latejuvenile,off,hb,er1,hb_off_er1
gaggrouper,latejuvenile,off,hb,er2,hb_off_er2
gaggrouper,latejuvenile,off,hb,er3,hb_off_er3
gaggrouper,latejuvenile,off,hb,er4,hb_off_er4
gaggrouper,latejuvenile,off,reef,er1,reef_off_er1
gaggrouper,latejuvenile,off,reef,er2,reef_off_er2
gaggrouper,latejuvenile,off,reef,er3,reef_off_er3
gaggrouper,latejuvenile,off,reef,er4,reef_off_er4
gaggrouper,adult,near,hb,er1,hb_near_er1
gaggrouper,adult,near,hb,er2,hb_near_er2
gaggrouper,adult,near,hb,er3,hb_near_er3
gaggrouper,adult,near,hb,er4,hb_near_er4
gaggrouper,adult,near,hb,er5,hb_near_er5
gaggrouper,adult,near,reef,er1,reef_near_er1
gaggrouper,adult,near,reef,er2,reef_near_er2
gaggrouper,adult,near,reef,er3,reef_near_er3
gaggrouper,adult,near,reef,er4,reef_near_er4
gaggrouper,adult,near,reef,er5,reef_near_er5
gaggrouper,adult,off,hb,er1,hb_off_er1
gaggrouper,adult,off,hb,er2,hb_off_er2
gaggrouper,adult,off,hb,er3,hb_off_er3
gaggrouper,adult,off,hb,er4,hb_off_er4
gaggrouper,adult,off,hb,er5,hb_off_er5
gaggrouper,adult,off,reef,er1,reef_off_er1
gaggrouper,adult,off,reef,er2,reef_off_er2
gaggrouper,adult,off,reef,er3,reef_off_er3
gaggrouper,adult,off,reef,er4,reef_off_er4
gaggrouper,adult,off,reef,er5,reef_off_er5
gaggrouper,spawningadult,near,shelf,er1,shelf_near_er1
gaggrouper,spawningadult,near,shelf,er2,shelf_near_er2
gaggrouper,spawningadult,near,shelf,er3,shelf_near_er3
gaggrouper,spawningadult,near,shelf,er4,shelf_near_er4
gaggrouper,spawningadult,near,shelf,er5,shelf_near_er5
gaggrouper,spawningadult,near,hb,er1,hb_near_er1
gaggrouper,spawningadult,near,hb,er2,hb_near_er2
gaggrouper,spawningadult,near,hb,er3,hb_near_er3
gaggrouper,spawningadult,near,hb,er4,hb_near_er4
gaggrouper,spawningadult,near,hb,er5,hb_near_er5
gaggrouper,spawningadult,off,shelf,er1,shelf_off_er1
gaggrouper,spawningadult,off,shelf,er2,shelf_off_er2
gaggrouper,spawningadult,off,shelf,er3,shelf_off_er3
gaggrouper,spawningadult,off,shelf,er4,shelf_off_er4
gaggrouper,spawningadult,off,shelf,er5,shelf_off_er5
gaggrouper,spawningadult,off,hb,er1,hb_off_er1
gaggrouper,spawningadult,off,hb,er2,hb_off_er2
gaggrouper,spawningadult,off,hb,er3,hb_off_er3
gaggrouper,spawningadult,off,hb,er4,hb_off_er4
gaggrouper,spawningadult,off,hb,er5,hb_off_er5
goldfacetilefish,egg,,,,
goldfacetilefish,larvae,,,,
goldfacetilefish,postlarvae,,,,
goldfacetilefish,earlyjuvenile,,,,
goldfacetilefish,latejuvenile,,,,
goldfacetilefish,adult,off,shelf,er2,shelf_off_er2
goldfacetilefish,adult,off,shelf,er3,shelf_off_er3
goldfacetilefish,adult,off,sb,er2,sb_off_er2
goldfacetilefish,adult,off,sb,er3,sb_off_er3
goldfacetilefish,spawningadult,,,,
goliathgrouper,egg,off,wca,er1,wca_off_er1
goliathgrouper,egg,off,wca,er5,wca_off_er5
goliathgrouper,larvae,off,wca,er1,wca_off_er1
goliathgrouper,larvae,off,wca,er5,wca_off_er5
goliathgrouper,postlarvae,near,mangrove,er1,mangrove_near_er1
goliathgrouper,postlarvae,near,mangrove,er5,mangrove_near_er5
goliathgrouper,earlyjuvenile,est,sav,er1,sav_est_er1
goliathgrouper,earlyjuvenile,est,sav,er5,sav_est_er5
goliathgrouper,earlyjuvenile,est,mangrove,er1,mangrove_est_er1
goliathgrouper,earlyjuvenile,est,mangrove,er5,mangrove_est_er5
goliathgrouper,earlyjuvenile,est,em,er1,em_est_er1
goliathgrouper,earlyjuvenile,est,em,er5,em_est_er5
goliathgrouper,earlyjuvenile,near,sav,er1,sav_near_er1
goliathgrouper,earlyjuvenile,near,sav,er5,sav_near_er5
goliathgrouper,earlyjuvenile,near,mangrove,er1,mangrove_near_er1
goliathgrouper,earlyjuvenile,near,mangrove,er5,mangrove_near_er5
goliathgrouper,earlyjuvenile,near,em,er1,em_near_er1
goliathgrouper,earlyjuvenile,near,em,er5,em_near_er5
goliathgrouper,latejuvenile,est,sav,er1,sav_est_er1
goliathgrouper,latejuvenile,est,sav,er5,sav_est_er5
